"Season","Name","Team","Age","AVG","OBP","SLG","OPS","AB","H","R","HR","RBI","SB","Off","WAR","playerid"
"1978","Gary Carter","MON","24",".255",".336",".422",".758","533","136","76","20","72","10","8.1","5.1","1002015"
"1984","Tony Pena","PIT","27",".286",".333",".425",".758","546","156","77","15","78","12","6.6","5.0","1010153"
"2006","Kenji Johjima","SEA","30",".291",".332",".451",".783","506","147","61","18","76","3","-0.3","2.8","5811"
"1990","Brian Harper","MIN","30",".294",".328",".432",".760","479","141","61","6","54","3","3.4","2.9","1005376"
"1995","Ivan Rodriguez","TEX","23",".303",".327",".449",".776","492","149","56","12","67","0","-4.2","3.0","1275"
"1973","Carlton Fisk","BOS","25",".246",".309",".441",".750","508","125","65","26","71","7","3.6","3.7","1004101"
"1981","Jim Sundberg","TEX","30",".277",".369",".366",".735","339","94","42","3","28","2","5.6","3.4","1012724"
"1983","Terry Kennedy","SDP","27",".284",".342",".434",".776","549","156","47","17","98","1","8.1","4.2","1006850"
"1986","Gary Carter","NYM","32",".255",".337",".439",".776","490","125","81","24","105","1","10.0","3.8","1002015"
"1996","Javy Lopez","ATL","25",".282",".322",".466",".788","489","138","56","23","69","1","-1.4","2.0","103"
"2009","Yadier Molina","STL","26",".293",".366",".383",".749","481","141","45","6","54","9","-3.7","5.1","7007"
"2020","Willson Contreras","CHC","28",".243",".356",".407",".763","189","46","37","7","26","1","2.1","1.6","11609"
"1978","Jim Sundberg","TEX","27",".278",".358",".380",".739","518","144","54","6","58","2","4.7","5.2","1012724"
"1996","Dan Wilson","SEA","27",".285",".330",".444",".774","491","140","51","18","83","1","-6.2","3.5","1102"
"1976","Butch Wynegar","MIN","20",".260",".356",".363",".719","534","139","58","10","69","0","8.6","3.6","1014308"
"1992","Brian Harper","MIN","32",".307",".343",".410",".753","502","154","58","9","73","0","2.8","2.3","1005376"
"1980","Jim Sundberg","TEX","29",".273",".353",".384",".737","505","138","59","10","63","2","5.2","3.2","1012724"
"2015","Stephen Vogt","OAK","30",".261",".341",".443",".783","445","116","58","18","71","0","4.7","1.8","5000"
"1982","Tony Pena","PIT","25",".296",".323",".435",".758","497","147","53","11","63","2","4.3","3.7","1010153"
"1974","Fran Healy","KCR","27",".252",".343",".375",".718","445","112","59","9","53","16","4.9","2.7","1005546"
"1986","Bob Brenly","SFG","32",".246",".350",".403",".752","472","116","60","16","62","10","7.7","2.8","1001386"
"1980","Rick Cerone","NYY","26",".277",".321",".432",".753","519","144","70","14","85","1","3.4","4.1","1002105"
"2016","J.T. Realmuto","MIA","25",".303",".343",".428",".771","509","154","60","11","48","12","8.4","2.1","11739"
"1978","Gary Alexander","- - -","25",".225",".304",".444",".748","498","112","57","27","84","0","3.6","1.8","1000123"
