"Season","Name","Team","Age","AVG","OBP","SLG","OPS","AB","H","R","HR","RBI","SB","Off","WAR","playerid"
"2014","Edwin Encarnacion","TOR","31",".268",".354",".547",".901","477","128","75","34","98","2","30.8","3.7","2151"
"1989","Dwight Evans","BOS","37",".285",".397",".463",".861","520","148","82","20","100","3","29.0","3.4","1003865"
"2000","David Segui","- - -","33",".334",".388",".510",".898","574","192","93","19","103","0","20.0","2.2","169"
"2013","Edwin Encarnacion","TOR","30",".272",".370",".534",".904","530","144","90","36","104","7","32.0","4.0","2151"
"2003","Edgar Martinez","SEA","40",".294",".406",".489",".895","497","146","72","24","98","0","22.1","2.7","1086"
"1980","Jason Thompson","- - -","25",".288",".398",".475",".873","438","126","69","21","90","2","24.8","4.0","1013014"
"1987","Brian Downing","CAL","36",".272",".400",".487",".886","567","154","110","29","77","5","32.9","3.9","1003451"
"1999","David Justice","CLE","33",".287",".413",".476",".889","429","123","75","21","88","1","16.9","3.2","923"
"2010","Luke Scott","BAL","32",".284",".368",".535",".902","447","127","70","27","72","2","20.5","2.8","3469"
"2008","Aubrey Huff","BAL","31",".304",".360",".552",".912","598","182","96","32","108","4","30.2","4.0","1213"
"2002","Ellis Burks","CLE","37",".301",".362",".541",".903","518","156","92","32","91","2","25.8","3.1","372"
"2019","J.D. Martinez","BOS","31",".304",".383",".557",".939","575","175","98","36","105","2","28.1","3.2","6184"
"1992","Dave Winfield","TOR","40",".290",".377",".491",".867","583","169","92","26","108","2","29.3","3.8","1014127"
"1997","Juan Gonzalez","TEX","27",".296",".335",".589",".924","533","158","87","42","131","0","19.8","2.2","1251"
"1981","Richie Zisk","SEA","32",".311",".366",".485",".851","357","111","42","16","43","0","17.5","2.1","1014455"
"2017","Nelson Cruz","SEA","36",".288",".375",".549",".924","556","160","91","39","119","1","33.0","3.8","2434"
"1999","Frank Thomas","CHW","31",".305",".414",".471",".885","486","148","74","15","77","3","19.6","2.1","255"
"2009","Jason Kubel","MIN","27",".300",".369",".539",".907","514","154","73","28","103","1","19.8","2.3","2161"
"2011","Paul Konerko","CHW","35",".300",".388",".517",".906","543","163","69","31","105","1","18.6","2.7","242"
"1995","Eddie Murray","CLE","39",".323",".375",".516",".891","436","141","68","21","82","5","17.7","2.6","1009386"
"1974","Hal McRae","KCR","28",".310",".375",".475",".850","539","167","71","15","88","11","27.0","4.1","1008687"
"2001","Ellis Burks","CLE","36",".280",".369",".542",".911","439","123","83","28","74","5","23.9","2.5","372"
"2016","Nelson Cruz","SEA","35",".287",".360",".555",".915","589","169","96","43","105","2","35.0","4.4","2434"
"1977","Hal McRae","KCR","31",".298",".366",".515",".881","641","191","104","21","92","18","30.2","4.3","1008687"
"1994","Kirk Gibson","DET","37",".276",".358",".548",".906","330","91","71","23","72","4","12.2","1.2","1004669"
"2013","Joe Mauer","MIN","30",".324",".404",".476",".880","445","144","62","11","47","0","25.3","5.2","1857"
"1981","Greg Luzinski","CHW","30",".265",".365",".476",".841","378","100","55","21","62","0","21.6","2.6","1007855"
"2010","David Ortiz","BOS","34",".270",".370",".529",".899","518","140","86","32","102","0","18.3","2.6","745"
"2001","Mike Sweeney","KCR","27",".304",".374",".542",".916","559","170","97","29","99","10","23.2","4.0","634"
"1973","Frank Robinson","CAL","37",".266",".372",".489",".861","534","142","85","30","97","1","32.5","4.2","1011066"
