Season,Name,Team,Position,Age,AVG,OBP,SLG,OPS,AB,H,R,HR,RBI,SB,Off,WAR,playerid
2014,Todd Frazier,CIN,Third Base,28,0.273,0.336,0.459,0.795,597,163,88,29,80,20,20.5,4.5,785
1985,Graig Nettles,SDP,Third Base,40,0.261,0.363,0.42,0.784,440,115,66,15,61,0,13.8,3,1009517
2016,Evan Longoria,TBR,Third Base,30,0.273,0.318,0.521,0.84,633,173,81,36,98,0,18.7,4.5,9368
2006,Joe Crede,CHW,Third Base,28,0.283,0.323,0.506,0.828,544,154,76,30,94,0,1.5,3.9,227
1986,Brook Jacoby,CLE,Third Base,26,0.288,0.35,0.441,0.791,583,168,83,17,80,2,10.2,3,1006318
2011,Mark Reynolds,BAL,Third Base,27,0.221,0.323,0.483,0.806,534,118,84,37,86,6,10.3,0.1,7619
1980,Toby Harrah,CLE,Third Base,31,0.267,0.379,0.38,0.759,561,150,100,11,72,17,13.7,3.9,1005384
1981,Darrell Evans,SFG,Third Base,34,0.258,0.356,0.417,0.773,357,92,51,12,48,2,9.5,3,1003864
1969,Ken McMullen,WAS,Third Base,27,0.272,0.349,0.425,0.775,562,153,83,19,87,4,12.8,5.4,1008650
1979,Phil Garner,PIT,Third Base,30,0.293,0.359,0.441,0.8,549,161,76,11,59,17,10,3.9,1004541
1981,Toby Harrah,CLE,Third Base,32,0.291,0.382,0.388,0.77,361,105,64,5,44,12,11.1,1.4,1005384
2007,Edwin Encarnacion,CIN,Third Base,24,0.289,0.356,0.438,0.794,502,145,66,16,76,8,6.5,1.2,2151
1996,Wade Boggs,NYY,Third Base,38,0.311,0.389,0.389,0.778,501,156,80,2,41,1,1.8,3.1,1001124
1992,Ken Caminiti,HOU,Third Base,29,0.294,0.35,0.441,0.79,506,149,68,13,62,10,15.3,3.8,1001863
2000,Tony Batista,TOR,Third Base,26,0.263,0.307,0.519,0.827,620,163,96,41,114,5,-0.8,2.7,124
2019,Mike Moustakas,MIL,Third Base,30,0.254,0.329,0.516,0.845,523,133,80,35,87,3,8.3,2.8,4892
1980,Darrell Evans,SFG,Third Base,33,0.264,0.359,0.414,0.772,556,147,69,20,78,17,18.8,4.1,1003864
1985,Jim Presley,SEA,Third Base,23,0.275,0.324,0.484,0.808,570,157,71,28,84,2,9.6,2.9,1010523
2015,Yunel Escobar,WSN,Third Base,32,0.314,0.375,0.415,0.79,535,168,75,9,56,2,7.1,2.3,4191
1977,Doug Rader,,Third Base,32,0.251,0.348,0.437,0.785,483,121,66,18,67,2,9.1,2.8,1010638
2003,Joe Randa,KCR,Third Base,33,0.291,0.348,0.452,0.8,502,146,80,16,72,1,3.3,2.4,623
2020,Brian Anderson,MIA,Third Base,27,0.255,0.345,0.465,0.81,200,51,27,11,38,0,7.1,1.2,18289
1993,Todd Zeile,STL,Third Base,27,0.277,0.352,0.433,0.785,571,158,82,17,103,5,9.4,1.6,457
1982,Darrell Evans,SFG,Third Base,35,0.256,0.36,0.419,0.779,465,119,64,16,61,5,13,2.2,1003864
2011,Chipper Jones,ATL,Third Base,39,0.275,0.344,0.47,0.814,455,125,56,18,70,2,7.5,1.8,97
1982,Cal Ripken,BAL,Third Base,21,0.264,0.317,0.475,0.792,598,158,90,28,93,3,11.6,4.6,1010978
1972,Joe Torre,STL,Third Base,31,0.289,0.357,0.419,0.776,544,157,71,11,81,3,12.1,3.4,1013133
2000,Dean Palmer,DET,Third Base,31,0.256,0.338,0.471,0.809,524,134,73,29,102,4,3.4,0.5,482
1972,Dave Kingman,SFG,Third Base,23,0.225,0.303,0.462,0.765,472,106,65,29,83,16,10.6,2.6,1006939
1989,Kelly Gruber,TOR,Third Base,27,0.29,0.328,0.448,0.775,545,158,83,18,73,10,11,3.9,1005107
1981,Art Howe,HOU,Third Base,34,0.296,0.365,0.404,0.77,361,107,43,3,36,1,10.3,3.2,1006092
