Season,Name,Team,Position,Age,AVG,OBP,SLG,OPS,AB,H,R,HR,RBI,SB,Off,WAR,playerid
2018,Didi Gregorius,NYY,Shortstop,28,0.268,0.335,0.494,0.829,504,135,89,27,86,10,17.3,4.7,6012
1972,Chris Speier,SFG,Shortstop,22,0.269,0.361,0.4,0.761,562,151,74,15,71,9,13.5,6,1012316
2020,David Fletcher,LAA,Shortstop,26,0.319,0.376,0.425,0.801,207,66,31,3,18,2,5.9,1.5,17992
1996,Cal Ripken,BAL,Shortstop,35,0.278,0.341,0.466,0.807,640,178,94,26,102,1,2,3.8,1010978
2000,Ricky Gutierrez,CHC,Shortstop,30,0.276,0.375,0.401,0.775,449,124,73,11,56,8,3.5,1.3,387
1987,Ozzie Smith,STL,Shortstop,32,0.303,0.392,0.383,0.775,600,182,104,0,75,43,16.5,6.3,1012186
2006,Edgar Renteria,ATL,Shortstop,29,0.293,0.361,0.436,0.797,598,175,100,14,70,17,7.7,3.6,1178
2019,Francisco Lindor,CLE,Shortstop,25,0.284,0.335,0.518,0.854,598,170,101,32,74,22,11,4.5,12916
1976,Rick Burleson,BOS,Shortstop,25,0.291,0.365,0.383,0.748,540,157,75,7,42,14,8.9,3.5,1001696
1981,Dave Concepcion,CIN,Shortstop,33,0.306,0.358,0.409,0.767,421,129,57,5,67,4,8.7,3.5,1002494
1997,Derek Jeter,NYY,Shortstop,23,0.291,0.37,0.405,0.775,654,190,116,10,70,23,9.2,4,826
2016,Carlos Correa,HOU,Shortstop,21,0.274,0.361,0.451,0.811,577,158,76,20,96,13,22.3,5.2,14162
1994,Barry Larkin,CIN,Shortstop,30,0.279,0.369,0.419,0.788,427,119,78,9,52,26,10.2,3.7,335
1994,Jay Bell,PIT,Shortstop,28,0.276,0.353,0.441,0.794,424,117,68,9,45,2,4.8,3.6,48
1983,Dickie Thon,HOU,Shortstop,25,0.286,0.341,0.457,0.798,619,177,81,20,79,34,19.6,7.2,1013033
2002,Edgar Renteria,STL,Shortstop,25,0.305,0.364,0.439,0.803,544,166,77,11,83,22,7.6,4.1,1178
2001,Cristian Guzman,MIN,Shortstop,23,0.302,0.337,0.477,0.814,493,149,80,10,51,25,8.5,3.9,728
2020,Dansby Swanson,ATL,Shortstop,26,0.274,0.345,0.464,0.809,237,65,49,10,35,5,9.5,1.9,18314
2011,Yunel Escobar,TOR,Shortstop,28,0.29,0.369,0.413,0.782,513,149,77,11,48,3,8.1,3.6,4191
2020,Didi Gregorius,PHI,Shortstop,30,0.284,0.339,0.488,0.827,215,61,34,10,40,3,5.4,1.4,6012
2016,Xander Bogaerts,BOS,Shortstop,23,0.294,0.356,0.446,0.802,652,192,115,21,89,13,17.9,4.9,12161
2003,Orlando Cabrera,MON,Shortstop,28,0.297,0.347,0.46,0.807,626,186,95,17,80,24,11.4,4.2,766
1982,Cal Ripken,BAL,Shortstop,21,0.264,0.317,0.475,0.792,598,158,90,28,93,3,11.6,4.6,1010978
2008,Jhonny Peralta,CLE,Shortstop,26,0.276,0.331,0.473,0.804,605,167,104,23,89,3,4.8,3.3,1738
2019,Javier Baez,CHC,Shortstop,26,0.281,0.316,0.531,0.847,531,149,89,29,85,11,11.7,4.4,12979
2012,Derek Jeter,NYY,Shortstop,38,0.316,0.362,0.429,0.791,683,216,99,15,58,9,11.2,3.3,826
2020,Willy Adames,TBR,Shortstop,24,0.259,0.332,0.481,0.813,185,48,29,8,23,2,8.2,1.5,15986
1988,Barry Larkin,CIN,Shortstop,24,0.296,0.347,0.429,0.776,588,174,91,12,56,40,20.2,6.3,335
2004,Jimmy Rollins,PHI,Shortstop,25,0.289,0.348,0.455,0.803,657,190,119,14,73,30,13,5,971
1999,Royce Clayton,TEX,Shortstop,29,0.288,0.346,0.445,0.792,465,134,69,14,52,8,-2.3,2.8,226
